제품명,플랜명,월간 가격,연간 가격,주요 기능,사용자 수
Monday Work Management,Free,$0,$0,"최대 3개 보드, 최대 3개 문서, 200+ 템플릿, 8가지 컬럼 타입, iOS/Android 앱",최대 2명
Monday Work Management,Basic,$12,$9,"무제한 뷰어, 무제한 아이템, 5GB 파일 저장소, 우선순위 고객 지원, 1개 보드 기반 대시보드",사용자당 (최소 3명)
Monday Work Management,Standard,$17,$12,"타임라인 & 간트 뷰, 캘린더 뷰, 게스트 액세스, 자동화 (250 작업/월), 통합 (250 작업/월), 5개 보드 결합 대시보드",사용자당 (최소 3명)
Monday Work Management,Pro,$28,$19,"프라이빗 보드, 차트 뷰, 시간 추적, 공식 컬럼, 자동화 (25K 작업/월), 통합 (25K 작업/월), 20개 보드 결합 대시보드",사용자당 (최소 3명)
Monday Work Management,Enterprise,문의,문의,"포트폴리오 관리, 리소스 관리, 엔터프라이즈급 자동화 & 통합 (250K 작업/월), 다단계 권한, 고급 보안 & 거버넌스",사용자당 (영업 문의)
Monday Dev,Basic,$11,$9,"위키 & 문서화, 무제한 뷰어 & 아이템, 개발 전용 템플릿, 1개 보드 대시보드, 역량 계획, 일일 스탠드업, AI 스프린트 요약",사용자당 (최소 3명)
Monday Dev,Standard,$15,$12,"Basic 기능 + 타임라인 & 간트 뷰, 게스트 액세스, 스프린트 관리, 단일 로드맵 계획, GitHub 통합, 자동화 (250 작업/월), 통합 (250 작업/월), 5개 보드 대시보드, 500 AI 크레딧/월",사용자당 (최소 3명)
Monday Dev,Pro,$24,$20,"Standard 기능 + 계층 구조, 프라이빗 보드, 시간 추적, 애자일 리포팅, 크로스팀 로드맵, 고객 피드백 & 요청 관리, 자동화 (25K 작업/월), 통합 (25K 작업/월), 20개 보드 대시보드",사용자당 (최소 3명)
Monday Dev,Enterprise,문의,문의,"Pro 기능 + 엔터프라이즈급 자동화 & 통합 (250K 작업/월), 엔터프라이즈급 보안 & 거버넌스, 고급 리포팅 & 분석, 다단계 권한, 엔터프라이즈 지원 (24/7, 99.9% SLA), 50개 보드 대시보드",사용자당 (영업 문의)
Monday Sales CRM,Basic,$15,$12,"무제한 커스터마이징 파이프라인, 무제한 연락처, 무제한 보드, 리드/연락처/거래 관리 템플릿, iOS & Android 앱, 무제한 뷰어, 1개 보드 대시보드",사용자당 (최소 3명)
Monday Sales CRM,Standard,$21,$17,"Basic 기능 + 고급 계정/연락처/거래 관리, Gmail & Outlook 2-way 이메일 통합, AI 이메일 생성기, 활동 관리, 중복 데이터 병합, CRM 자동화 (250 작업/월), CRM 통합 (250 작업/월), 5개 보드 대시보드",사용자당 (최소 3명)
Monday Sales CRM,Pro,$34,$28,"Standard 기능 + 판매 예측, 이메일 템플릿, 이메일 추적 & 자동화, 시퀀스, 견적 & 인보이스, 대량 이메일, Google Calendar 동기화, 판매 분석, CRM 자동화 (25K 작업/월)",사용자당 (최소 3명)
Monday Sales CRM,Enterprise,문의,문의,"Pro 기능 + 리드 스코어링, 필수 필드, 팀 목표, 고급 분석 (최대 50개 보드 대시보드), 계정 관리, 영업용 문서, 엔터프라이즈급 자동화 & 통합 (250K 작업/월), 엔터프라이즈급 보안 & 거버넌스, 다단계 권한, HIPAA 준수",사용자당 (영업 문의)
Monday Service,Standard,$32,$26,"무제한 티켓, 이메일 & WorkForms를 통한 티켓 접수, Gmail & Outlook 2-way 이메일 통합, 1개 이메일 서버, 1개 티켓 보드용 AI 티켓 분류, 고객 포털 (최대 10명 사용자), 서비스 자동화 (250 작업/월)",사용자당 (최소 3명)
Monday Service,Pro,$46,$38,"Standard 기능 + 모든 채널용 동적 자동 응답, 3개 티켓 보드용 AI 티켓 분류, 커스터마이징 가능한 이메일 서버 프리픽스, 고객 포털 (최대 100명 사용자), 서비스 자동화 (5,000 작업/월), 20개 보드 결합 대시보드",사용자당 (최소 3명)
Monday Service,Enterprise,문의,문의,"Pro 기능 + 무제한 티켓 보드용 AI 티켓 분류, 다중 커스터마이징 가능한 이메일 서버, 고객 포털 (무제한 사용자), 엔터프라이즈급 자동화 & 통합, 엔터프라이즈급 보안 & 거버넌스, 고급 분석 (최대 50개 보드 대시보드)",사용자당 (영업 문의)
